episode,return,shaped_return,loss
476,-697.572,6237.428,4147216.75
477,-664.518,4725.482,2961722.75
478,-403.167,4161.833,2459484.25
479,-658.88,5151.12,3095010.75
480,-519.856,5660.144,3479930.25
481,-1133.413,5316.587,3849745.5
482,-790.545,5989.455,4063996.25
483,-605.982,5304.018,2880603.75
484,-798.845,5511.155,4092084.75
485,-902.151,5972.849,4158559.25
486,-764.878,5360.122,3085823.25
487,-765.174,6364.826,3932547.75
488,-473.687,5896.313,3683032.5
489,-454.605,3815.395,1970492.75
490,-398.922,6116.078,3656134.0
491,-1356.496,5558.504,4543236.5
492,-479.343,3290.657,1501577.5
493,-840.143,5539.857,3737534.5
494,-1188.284,6016.716,4343943.0
495,-921.389,5988.611,4025376.25
496,58.145,6233.145,3023218.75
497,-606.829,5418.171,3529605.25
498,-584.815,5545.185,3305357.5
499,-1261.876,5118.124,3627933.5
500,-953.764,5626.236,3822809.5
501,-726.747,5088.253,3420607.75
502,-1163.243,5556.757,4415589.0
503,-1409.965,6050.035,4743464.5
504,-1415.786,5574.214,4254284.5
505,-748.458,5916.542,3588369.25
506,-382.753,6137.247,3505893.5
507,-1007.184,5362.816,3553683.5
508,-459.202,6200.798,3676437.25
509,-726.694,5493.306,3778124.5
510,-563.37,3276.63,1621762.75
511,-533.39,3636.61,1929837.0
512,-1192.575,6247.425,5107007.0
513,-947.53,5662.47,3538323.75
514,-970.011,6054.989,3989607.5
515,-1038.117,5821.883,4070915.0
516,-489.583,5675.417,3722577.75
517,-779.839,5430.161,3537132.25
518,-844.682,5845.318,3879156.25
519,-941.346,5198.654,3302637.25
520,-1164.488,5900.512,4186936.5
521,-1153.672,5541.328,3936050.0
522,-1082.348,6187.652,4801655.0
523,-575.157,5654.843,2991016.75
524,-421.251,4468.749,2486162.25
525,-980.973,5974.027,4004043.5
526,-566.758,5538.242,2735556.0
527,-45.15,6749.85,3859619.5
528,-472.276,3662.724,1860712.375
529,-272.517,5927.483,3124910.25
530,-826.568,6228.432,4544885.5
531,-1002.691,5777.309,4373366.5
532,-630.374,5989.626,4048448.75
533,-440.715,4234.285,2343083.25
534,-405.367,5589.633,2881467.5
535,-420.011,4644.989,2547181.0
536,-1156.446,6063.554,4634428.5
537,-504.267,5740.733,3053540.75
538,-278.13,5911.87,3486114.75
539,-1008.585,6636.415,4611289.0
540,-830.643,5849.357,3442788.25
541,-478.095,5566.905,3369923.0
542,-729.12,5700.88,4032401.5
543,-1205.544,5894.456,4427386.5
544,-520.157,6069.843,3236784.5
545,-409.183,6230.817,3874582.75
546,-885.421,5944.579,4213649.0
547,-589.524,6765.476,4351906.5
548,-641.551,6043.449,4154666.25
549,-563.254,3696.746,2355877.25
550,-985.108,6264.892,4786431.0
551,-994.637,5320.363,3511792.5
552,-655.205,5604.795,3397795.5
553,-862.921,5677.079,3598749.25
554,-560.464,5194.536,2839496.5
555,-1280.065,5414.935,4138763.75
556,-944.767,5825.233,4233880.0
557,-770.627,6624.373,5037845.0
558,-709.128,5915.872,3636699.0
559,-1194.244,6420.756,4844321.5
560,-843.852,5811.148,3722820.5
561,-1130.968,5809.032,4217473.5
562,-936.24,5323.76,3156968.5
563,-967.203,5762.797,3996903.75
564,-692.827,5352.173,3709236.75
565,-257.111,3782.889,1843855.5
566,-952.093,5227.907,2939858.75
567,13.416,6558.416,3650460.25
568,-1014.609,6040.391,4145291.75
569,-462.571,6607.429,4546781.0
570,-650.155,3604.845,2073182.25
571,-1554.805,6395.195,5727044.0
572,-318.731,7101.269,4880241.5
573,-1376.435,5298.565,4480697.5
574,-657.9,5357.1,2895355.25
575,-1042.151,5872.849,3823073.0
576,-955.812,5604.188,3577377.25
577,-378.557,5696.443,3300046.25
578,153.802,5933.802,2927865.25
579,-1601.855,6413.145,6111295.0
580,-579.592,5735.408,3044874.0
581,-738.38,6061.62,3577901.75
582,-907.024,5987.976,4044738.5
583,-69.898,5955.102,2920445.75
584,-1396.556,6018.444,5002107.0
585,-769.667,5345.333,3633745.75
586,-440.158,6844.842,4498932.5
587,-596.68,5513.32,3068772.5
588,-1303.071,5496.929,4106649.75
589,-943.04,5371.96,3290648.5
590,-1034.956,4650.044,3342250.5
591,-918.242,5056.758,3113516.0
592,-410.375,5874.625,3061166.25
593,-935.871,5844.129,4479613.5
594,-585.938,6579.062,3769342.75
595,-1257.207,5512.793,4504687.5
596,-1164.175,5300.825,3775861.0
597,-708.307,6556.693,4432486.0
598,-816.297,5608.703,3701185.0
599,-752.451,5817.549,3941977.5
600,-794.041,6040.959,3982857.0
601,-1130.563,5709.437,4028774.75
602,-929.415,6095.585,4344701.5
603,-594.613,5885.387,3636207.0
604,-619.74,5485.26,3286717.75
605,-801.624,6733.376,4312522.0
606,-282.366,5657.634,3376649.25
607,-1059.054,5690.946,4770759.5
608,-837.439,5582.561,3605022.75
609,-732.109,5057.891,2982299.0
610,-1150.233,4989.767,3630588.0
611,-571.026,6288.974,3893508.5
612,-721.316,5573.684,3739691.5
613,-877.31,6067.69,4361271.5
614,-400.259,5479.741,3244976.25
615,-833.505,6421.495,4128762.25
616,-1203.818,5901.182,4438956.5
617,-567.001,5852.999,3080537.0
618,-965.798,5924.202,3976638.75
619,-944.985,5635.015,3584329.75
620,-1197.075,5392.925,4247289.5
621,-1213.458,5946.542,4508672.5
622,-1019.517,5940.483,4139319.25
623,-759.144,6285.856,4092989.0
624,-736.694,5453.306,3233421.75
625,-790.987,5599.013,3497038.0
626,-715.73,5544.27,3553973.75
627,-895.506,5494.494,3507090.5
628,-202.406,5962.594,2909968.75
629,-1.46,5758.54,2791214.5
630,-940.738,6174.262,4378347.0
631,-1105.512,6304.488,4629027.5
632,-386.179,5798.821,3000229.0
633,-762.295,5257.705,3776727.5
634,-1051.411,5783.589,4261305.0
635,-809.543,6035.457,3850798.25
636,-1347.594,5797.406,4509839.0
637,-936.466,4898.534,3401222.75
638,-1198.689,5421.311,4375596.0
639,-501.871,6048.129,3294666.25
640,-912.578,5877.422,4035502.0
641,-1235.843,6609.157,5668907.0
642,-339.18,5620.82,3186032.0
643,-515.369,5254.631,2660530.75
644,-501.085,6158.915,3654552.5
645,-710.892,5419.108,3278230.0
646,-1228.551,5901.449,4251384.0
647,-953.599,4371.401,3384590.25
648,-395.158,6364.842,3927345.75
649,-933.91,5696.09,3657264.25
650,-342.889,5357.111,2840369.75
651,-634.094,5430.906,3359228.75
652,-1322.587,5267.413,4147973.25
653,-495.451,5824.549,3226277.75
654,-454.532,6845.468,4483859.5
655,-1109.772,5930.228,4204015.5
656,-869.887,5945.113,3738081.5
657,-762.855,6052.145,4157160.75
658,-829.826,6470.174,4309864.0
659,-1136.67,5943.33,4772238.0
660,-1081.865,6513.135,3776812.25
661,-887.121,5822.879,3775609.25
662,-406.406,5778.594,3189252.75
663,-640.727,5154.273,3049801.5
664,-569.249,5075.751,2384068.75
665,-1181.278,5298.722,3896629.5
666,-1107.268,6392.732,4948856.5
667,-1344.733,5870.267,4751262.0
668,-1001.908,6263.092,4598217.5
669,-574.85,5165.15,2793443.5
670,-642.871,5737.129,3328098.75
671,-1087.032,5722.968,4415973.5
672,-817.885,5707.115,4116601.75
673,-946.716,5643.284,3937231.0
674,-402.201,6352.799,4095042.75
675,-566.223,6198.777,3596699.0
676,-892.49,5507.51,4067704.5
677,-1099.876,4160.124,2770709.25
678,-621.958,6428.042,3566875.5
679,-646.03,5293.97,2887473.5
680,-622.091,6237.909,4137442.75
681,-1086.829,6023.171,4253616.0
682,-1317.363,6847.637,5251707.0
683,-736.014,5328.986,3246337.0
684,-1086.302,5898.698,4392544.5
685,-512.991,5987.009,3585507.0
686,-375.156,6319.844,3646108.5
687,-1205.976,5049.024,3820997.75
688,-575.905,5959.095,3603897.5
689,-554.309,5575.691,2873867.75
690,-1026.384,5463.616,4055016.25
